339,circumference,周,"circumference, glass hood, earthenware jar, lidded crock, soil, dirt, ground, mouth"
340,week,週,"week, circumference, running track, earthenware jar, lidded crock, soil, dirt, ground, mouth, road"
341,gentleman,士,"gentleman, gentleman, samurai"
342,good luck,吉,"good luck, samurai, mouth"
343,robust,壮,"robust, turtle, samurai"
344,villa,荘,"villa, flowers, robust, turtle, samurai"
345,sell,売,"sell, samurai, paper punch, Miss World, crown, human legs"
346,study,学,"study, schoolhouse, owl, crown, child"
347,memorize,覚,"memorize, schoolhouse, owl, crown, see, telescope, eye, human legs"
348,flourish,栄,"flourish, schoolhouse, owl, crown, tree, wood"
349,write,書,"write, brush, tongue wagging, sun, day"
350,haven,津,"haven, water, water droplets, water pistol, brush"
351,breed,牧,"breed, cow, taskmaster"
352,aggression,攻,"aggression, craft, taskmaster"
353,failure,敗,"failure, shellfish, clam, oyster, eye, animal legs, eight, taskmaster"
354,a sheet of,枚,"sheet of…, tree, wood, taskmaster"
355,happenstance,故,"happenstance, old, tombstone, gravestone, church, ten, needle, mouth, taskmaster"
356,awe,敬,"awe, flowers, phrase, bound up, mouth, taskmaster"
357,say,言,"say, words, keitai, mouth"
358,admonish,警,"admonish, awe, flowers, phrase, bound up, mouth, taskmaster, say, words, keitai, mouth, mouth2"
359,plot,計,"plot, say, words, keitai, mouth, ten, needle"
361,prison,獄,"prison, pack of wild dogs, say, words, keitai, mouth, chihuahua, dog, large, drop"
362,revise,訂,"revise, say, words, keitai, mouth, street, nail, spike"
364,chastise,討,"chastise, say, words, keitai, mouth, glue"
365,instruction,訓,"instruction, say, words, keitai, mouth, stream, flood"
366,imperial edict,詔,"imperial edict, say, words, keitai, mouth, summon, seduce, sword, dagger, mouth, mouth2"
367,packed,詰,"packed, say, words, keitai, mouth, aerosol, good luck, samurai, mouth, mouth2"
368,tale,話,"tale, say, words, keitai, mouth, tongue, thousand, mouth, mouth2"
369,recitation,詠,"recitation, say, words, keitai, mouth, eternity, drop, water"
370,poem,詩,"poem, say, words, keitai, mouth, Buddhist temple, soil, dirt, ground, glue"
371,word,語,"word, say, words, keitai, mouth, I, five, mouth, mouth2"
372,read,読,"read, say, words, keitai, mouth, sell, sale, samurai, paper punch, Miss World, crown, human legs"
373,tune,調,"tune, say, words, keitai, mouth, circumference, running track, soil, dirt, ground, mouth, mouth2"
374,discuss,談,"discuss, say, words, keitai, mouth, inflammation, fire, fire2"
375,consent,諾,"consent, say, words, keitai, mouth, young, flowers, by one’s side, mouth, mouth2"
376,rebuke,諭,"rebuke, say, words, keitai, mouth, meeting of butchers, moon, month, flesh, part of the body, sword, sabre, saber"
377,style,式,"style, arrow, craft"
378,test,試,"test, say, words, keitai, mouth, style, arrow, craft"
379,II (two),弐,"II, two, arrows, quiver"
